attempted_field_goals,field_goal_percentage,three_point_percentage,made_free_throws,defensive_rebounds,total_rebounds,turnovers,personal_fouls
85,0.30327868852459017,0.2826086956521739,15,32,41,14,24
81,0.34146341463414637,0.2619047619047619,17,34,45,14,25
102,0.296551724137931,0.296875,17,37,53,19,34
103,0.2896551724137931,0.25925925925925924,32,41,57,16,24
108,0.2987012987012987,0.23214285714285715,22,40,52,13,22
101,0.3221476510067114,0.30612244897959184,15,38,48,16,30
105,0.3181818181818182,0.23076923076923078,18,29,49,10,20
88,0.3383458646616541,0.34328358208955223,13,32,41,19,18
93,0.2846153846153846,0.21153846153846154,15,36,47,17,32
76,0.3153153153153153,0.23404255319148937,27,41,46,19,22
78,0.3445378151260504,0.3142857142857143,26,35,45,18,21
89,0.3153846153846154,0.27586206896551724,20,26,36,15,28
89,0.2992125984251969,0.13513513513513514,20,31,40,24,31
85,0.32,0.28,33,40,51,21,33
88,0.2727272727272727,0.20930232558139536,10,44,54,16,15
86,0.3008130081300813,0.23076923076923078,11,39,46,13,18
90,0.2682926829268293,0.21212121212121213,20,31,41,10,29
85,0.30327868852459017,0.19444444444444445,26,50,62,15,34
87,0.2809917355371901,0.2564102564102564,17,35,47,26,24
98,0.3333333333333333,0.25,15,35,44,14,25
81,0.2956521739130435,0.36,22,34,45,19,23
87,0.2926829268292683,0.2,21,35,48,20,25
94,0.3188405797101449,0.25,13,34,39,14,32
83,0.336,0.25,29,41,51,21,18
83,0.2782608695652174,0.2702702702702703,21,41,48,13,23
90,0.3076923076923077,0.2,14,38,49,11,31
86,0.3384615384615385,0.2619047619047619,18,34,42,13,15
85,0.2916666666666667,0.2127659574468085,20,30,39,13,20
80,0.38461538461538464,0.36,23,36,39,17,24
99,0.2826086956521739,0.2631578947368421,29,27,42,13,21
99,0.31724137931034485,0.25806451612903225,9,47,53,11,27
90,0.2682926829268293,0.25,29,47,57,14,25
78,0.3217391304347826,0.3333333333333333,14,41,46,23,28
109,0.2781456953642384,0.2549019607843137,15,35,56,9,20
81,0.31932773109243695,0.40476190476190477,16,30,39,26,31
78,0.3217391304347826,0.3018867924528302,23,35,46,26,26
91,0.3208955223880597,0.24,23,39,52,15,21
84,0.30578512396694213,0.2926829268292683,13,33,42,19,29
86,0.2833333333333333,0.2222222222222222,31,44,54,17,35
92,0.28125,0.20588235294117646,29,37,45,14,26
70,0.29292929292929293,0.24242424242424243,20,37,40,22,25
86,0.2833333333333333,0.23529411764705882,19,31,42,14,21
93,0.3007518796992481,0.2222222222222222,18,36,45,13,21
94,0.2932330827067669,0.2564102564102564,14,41,56,18,21
93,0.32608695652173914,0.25925925925925924,19,37,49,11,19
98,0.3146853146853147,0.26785714285714285,11,36,48,14,22
97,0.2867647058823529,0.21153846153846154,8,39,47,15,21
83,0.28448275862068967,0.17857142857142858,14,42,49,18,18
85,0.3511450381679389,0.2682926829268293,19,35,40,16,23
87,0.29838709677419356,0.28846153846153844,23,30,43,17,26
99,0.26119402985074625,0.1388888888888889,24,29,46,10,15
84,0.33858267716535434,0.23076923076923078,8,43,52,18,26
82,0.31666666666666665,0.2631578947368421,17,49,59,22,25
