slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
piercpa01,Paul Pierce,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,LOSS,2255,13,19,3,7,13,21,1,5,2,4,1,3,4,34.4
fishede01,Derek Fisher,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,2242,8,16,2,4,8,9,1,4,8,6,0,2,2,28.3
webbech01,Chris Webber,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,2857,14,29,0,0,5,6,3,12,7,1,1,2,3,27.0
onealje01,Jermaine O'Neal,INDIANA PACERS,AWAY,HOUSTON ROCKETS,LOSS,3230,9,20,0,0,10,14,5,13,2,0,8,2,5,26.4
paytoga01,Gary Payton,SEATTLE SUPERSONICS,HOME,PORTLAND TRAIL BLAZERS,WIN,2529,11,20,5,6,4,5,0,3,7,1,0,1,2,26.0
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,1882,6,10,3,4,10,10,1,6,2,4,1,2,4,25.4
allenra02,Ray Allen,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,2614,10,20,3,8,6,8,1,4,7,2,0,2,0,25.0
roseja01,Jalen Rose,INDIANA PACERS,AWAY,HOUSTON ROCKETS,LOSS,3652,16,34,2,4,5,6,1,10,9,0,0,5,5,24.2
norrimo01,Moochie Norris,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,2251,9,17,2,3,8,9,1,5,4,1,0,2,2,22.5
onealsh01,Shaquille O'Neal,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,2675,9,16,0,0,10,14,5,6,1,0,2,4,1,21.8
mcgratr01,Tracy McGrady,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,2963,10,28,1,2,4,5,5,5,8,3,1,1,2,21.5
finlemi01,Michael Finley,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,2085,11,18,3,3,0,0,1,3,4,1,0,0,2,21.4
howarju01,Juwan Howard,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,2266,8,15,0,0,11,11,1,8,4,1,0,4,3,21.4
abdursh01,Shareef Abdur-Rahim,VANCOUVER GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,2699,7,12,0,0,7,11,3,10,4,2,2,2,5,21.1
bibbymi01,Mike Bibby,VANCOUVER GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,2294,12,19,3,4,0,0,0,5,4,1,0,2,4,20.2
walkean02,Antoine Walker,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,LOSS,2710,9,20,4,12,1,2,2,6,11,2,1,4,5,19.8
thomati01,Tim Thomas,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,1722,8,13,5,7,2,3,1,4,1,1,1,1,3,18.8
millemi01,Mike Miller,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,2693,9,13,4,5,1,1,1,4,2,0,1,2,2,18.7
kukocto01,Toni Kukoč,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,2578,7,17,2,4,4,10,3,7,11,1,1,3,2,18.3
hendeal01,Alan Henderson,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,2345,10,16,0,0,3,7,6,5,1,1,0,3,2,17.8
stojape01,Peja Stojaković,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,2857,9,20,3,8,4,4,0,6,5,2,0,3,3,17.7
tayloma01,Maurice Taylor,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,3057,12,22,0,0,3,4,1,12,1,0,1,2,5,17.7
mohamna01,Nazr Mohammed,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,1376,6,13,0,0,5,7,9,4,1,0,1,1,1,17.0
harrial01,Al Harrington,INDIANA PACERS,AWAY,HOUSTON ROCKETS,LOSS,3231,7,19,0,1,8,10,5,5,2,4,1,3,6,16.4
willial02,Alvin Williams,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,1665,5,10,2,3,2,2,1,2,6,2,1,1,0,16.2
cartevi01,Vince Carter,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,2179,8,23,0,3,8,11,6,3,2,0,4,3,3,15.0
turkohe01,Hedo Türkoğlu,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,1694,3,6,1,3,11,11,2,6,0,3,0,4,6,14.8
terryja01,Jason Terry,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,2454,8,19,4,8,2,3,1,1,3,3,1,3,2,14.5
cambyma01,Marcus Camby,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,2055,9,16,0,0,0,0,2,5,0,0,4,1,2,14.3
knighbr01,Brevin Knight,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,2050,4,5,0,0,2,2,1,2,7,3,0,1,5,14.3
wallara01,Rasheed Wallace,PORTLAND TRAIL BLAZERS,AWAY,SEATTLE SUPERSONICS,LOSS,2600,8,15,0,3,3,3,2,6,2,1,2,4,2,13.9
petermo01,Morris Peterson,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,1397,7,12,2,4,1,1,2,1,1,0,0,0,0,13.8
francst01,Steve Francis,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,3149,6,20,1,6,3,4,2,8,11,2,0,2,6,13.1
barrybr01,Brent Barry,SEATTLE SUPERSONICS,HOME,PORTLAND TRAIL BLAZERS,WIN,1568,3,7,1,4,1,1,0,5,8,3,0,0,4,12.8
wardch01,Charlie Ward,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,1439,4,5,0,0,2,2,0,3,6,1,0,1,1,12.8
bradlsh01,Shawn Bradley,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,1486,6,10,0,0,0,0,3,5,0,1,4,1,3,12.6
