start_time,away_team,away_team_score,home_team,home_team_score
2019-10-23 00:00:00+00:00,NEW ORLEANS PELICANS,122,TORONTO RAPTORS,130
2019-10-23 02:30:00+00:00,LOS ANGELES LAKERS,102,LOS ANGELES CLIPPERS,112
2019-10-23 23:00:00+00:00,CHICAGO BULLS,125,CHARLOTTE HORNETS,126
2019-10-23 23:00:00+00:00,DETROIT PISTONS,119,INDIANA PACERS,110
2019-10-23 23:00:00+00:00,CLEVELAND CAVALIERS,85,ORLANDO MAGIC,94
2019-10-23 23:30:00+00:00,MINNESOTA TIMBERWOLVES,127,BROOKLYN NETS,126
2019-10-23 23:30:00+00:00,MEMPHIS GRIZZLIES,101,MIAMI HEAT,120
2019-10-23 23:30:00+00:00,BOSTON CELTICS,93,PHILADELPHIA 76ERS,107
2019-10-24 00:30:00+00:00,WASHINGTON WIZARDS,100,DALLAS MAVERICKS,108
2019-10-24 00:30:00+00:00,NEW YORK KNICKS,111,SAN ANTONIO SPURS,120
2019-10-24 01:00:00+00:00,OKLAHOMA CITY THUNDER,95,UTAH JAZZ,100
2019-10-24 02:00:00+00:00,SACRAMENTO KINGS,95,PHOENIX SUNS,124
2019-10-24 02:00:00+00:00,DENVER NUGGETS,108,PORTLAND TRAIL BLAZERS,100
2019-10-24 23:00:00+00:00,ATLANTA HAWKS,117,DETROIT PISTONS,100
2019-10-25 00:00:00+00:00,MILWAUKEE BUCKS,117,HOUSTON ROCKETS,111
2019-10-25 02:30:00+00:00,LOS ANGELES CLIPPERS,141,GOLDEN STATE WARRIORS,122
2019-10-25 23:00:00+00:00,TORONTO RAPTORS,106,BOSTON CELTICS,112
2019-10-25 23:00:00+00:00,MINNESOTA TIMBERWOLVES,121,CHARLOTTE HORNETS,99
2019-10-25 23:30:00+00:00,NEW YORK KNICKS,109,BROOKLYN NETS,113
2019-10-26 00:00:00+00:00,CHICAGO BULLS,110,MEMPHIS GRIZZLIES,102
2019-10-26 00:00:00+00:00,DALLAS MAVERICKS,123,NEW ORLEANS PELICANS,116
2019-10-26 00:00:00+00:00,WASHINGTON WIZARDS,97,OKLAHOMA CITY THUNDER,85
2019-10-26 01:00:00+00:00,PHOENIX SUNS,107,DENVER NUGGETS,108
2019-10-26 02:00:00+00:00,PORTLAND TRAIL BLAZERS,122,SACRAMENTO KINGS,112
2019-10-26 02:30:00+00:00,UTAH JAZZ,86,LOS ANGELES LAKERS,95
2019-10-26 21:00:00+00:00,MIAMI HEAT,131,MILWAUKEE BUCKS,126
2019-10-26 23:00:00+00:00,PHILADELPHIA 76ERS,117,DETROIT PISTONS,111
2019-10-26 23:30:00+00:00,ORLANDO MAGIC,99,ATLANTA HAWKS,103
2019-10-26 23:30:00+00:00,BOSTON CELTICS,118,NEW YORK KNICKS,95
2019-10-27 00:00:00+00:00,TORONTO RAPTORS,108,CHICAGO BULLS,84
2019-10-27 00:00:00+00:00,INDIANA PACERS,99,CLEVELAND CAVALIERS,110
2019-10-27 00:00:00+00:00,NEW ORLEANS PELICANS,123,HOUSTON ROCKETS,126
2019-10-27 00:30:00+00:00,WASHINGTON WIZARDS,122,SAN ANTONIO SPURS,124
2019-10-27 01:00:00+00:00,SACRAMENTO KINGS,81,UTAH JAZZ,113
2019-10-27 02:00:00+00:00,LOS ANGELES CLIPPERS,122,PHOENIX SUNS,130
2019-10-27 19:30:00+00:00,GOLDEN STATE WARRIORS,92,OKLAHOMA CITY THUNDER,120
2019-10-27 22:00:00+00:00,BROOKLYN NETS,133,MEMPHIS GRIZZLIES,134
2019-10-27 23:00:00+00:00,PORTLAND TRAIL BLAZERS,121,DALLAS MAVERICKS,119
2019-10-27 23:00:00+00:00,MIAMI HEAT,109,MINNESOTA TIMBERWOLVES,116
2019-10-28 01:30:00+00:00,CHARLOTTE HORNETS,101,LOS ANGELES LAKERS,120
2019-10-28 23:00:00+00:00,CHICAGO BULLS,98,NEW YORK KNICKS,105
2019-10-28 23:00:00+00:00,INDIANA PACERS,94,DETROIT PISTONS,96
2019-10-28 23:30:00+00:00,ORLANDO MAGIC,95,TORONTO RAPTORS,104
2019-10-28 23:30:00+00:00,PHILADELPHIA 76ERS,105,ATLANTA HAWKS,103
2019-10-29 00:00:00+00:00,OKLAHOMA CITY THUNDER,112,HOUSTON ROCKETS,116
2019-10-29 00:00:00+00:00,CLEVELAND CAVALIERS,112,MILWAUKEE BUCKS,129
2019-10-29 00:00:00+00:00,GOLDEN STATE WARRIORS,134,NEW ORLEANS PELICANS,123
2019-10-29 00:30:00+00:00,PORTLAND TRAIL BLAZERS,110,SAN ANTONIO SPURS,113
2019-10-29 02:00:00+00:00,UTAH JAZZ,96,PHOENIX SUNS,95
2019-10-29 02:00:00+00:00,DENVER NUGGETS,101,SACRAMENTO KINGS,94
2019-10-29 02:30:00+00:00,CHARLOTTE HORNETS,96,LOS ANGELES CLIPPERS,111
2019-10-29 23:30:00+00:00,ATLANTA HAWKS,97,MIAMI HEAT,112
2019-10-30 01:00:00+00:00,DALLAS MAVERICKS,109,DENVER NUGGETS,106
2019-10-30 02:30:00+00:00,MEMPHIS GRIZZLIES,91,LOS ANGELES LAKERS,120
2019-10-30 23:00:00+00:00,CHICAGO BULLS,111,CLEVELAND CAVALIERS,117
2019-10-30 23:00:00+00:00,NEW YORK KNICKS,83,ORLANDO MAGIC,95
2019-10-30 23:00:00+00:00,MINNESOTA TIMBERWOLVES,95,PHILADELPHIA 76ERS,117
2019-10-30 23:30:00+00:00,MILWAUKEE BUCKS,105,BOSTON CELTICS,116
2019-10-30 23:30:00+00:00,INDIANA PACERS,118,BROOKLYN NETS,108
2019-10-30 23:30:00+00:00,DETROIT PISTONS,113,TORONTO RAPTORS,125
2019-10-31 00:00:00+00:00,PORTLAND TRAIL BLAZERS,102,OKLAHOMA CITY THUNDER,99
2019-10-31 00:00:00+00:00,HOUSTON ROCKETS,159,WASHINGTON WIZARDS,158
2019-10-31 02:00:00+00:00,CHARLOTTE HORNETS,118,SACRAMENTO KINGS,111
2019-10-31 02:00:00+00:00,LOS ANGELES CLIPPERS,96,UTAH JAZZ,110
2019-10-31 02:30:00+00:00,PHOENIX SUNS,121,GOLDEN STATE WARRIORS,110
2019-10-31 23:00:00+00:00,MIAMI HEAT,106,ATLANTA HAWKS,97
2019-11-01 01:30:00+00:00,DENVER NUGGETS,107,NEW ORLEANS PELICANS,122
2019-11-01 02:30:00+00:00,SAN ANTONIO SPURS,97,LOS ANGELES CLIPPERS,103
2019-11-01 23:00:00+00:00,HOUSTON ROCKETS,116,BROOKLYN NETS,123
2019-11-01 23:00:00+00:00,CLEVELAND CAVALIERS,95,INDIANA PACERS,102
2019-11-01 23:00:00+00:00,MILWAUKEE BUCKS,123,ORLANDO MAGIC,91
2019-11-01 23:30:00+00:00,NEW YORK KNICKS,102,BOSTON CELTICS,104
2019-11-02 00:00:00+00:00,DETROIT PISTONS,106,CHICAGO BULLS,112
