team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,38,91,7,16,13,17,17,29,14,5,6,15,22
ATLANTA HAWKS,240,30,78,7,24,23,27,13,32,18,6,8,19,23
MEMPHIS GRIZZLIES,240,29,71,8,17,30,38,8,30,16,7,7,9,17
CHARLOTTE BOBCATS,240,36,89,3,15,13,16,14,31,23,5,5,13,29
CLEVELAND CAVALIERS,240,27,77,2,16,17,28,13,36,13,5,4,15,14
DETROIT PISTONS,240,38,87,7,18,13,18,13,33,24,7,9,9,20
DALLAS MAVERICKS,240,38,86,5,20,21,25,14,24,20,12,4,15,30
GOLDEN STATE WARRIORS,240,37,76,5,14,35,43,14,31,22,7,7,16,22
MINNESOTA TIMBERWOLVES,240,28,74,3,10,23,28,17,22,11,5,8,13,18
HOUSTON ROCKETS,240,30,79,1,11,18,23,17,24,15,11,3,17,25
BOSTON CELTICS,240,45,76,7,13,15,21,5,20,23,10,9,13,24
INDIANA PACERS,240,41,79,13,23,22,33,14,28,31,10,2,14,15
PORTLAND TRAIL BLAZERS,240,36,79,5,17,16,24,9,24,20,10,2,12,22
LOS ANGELES CLIPPERS,240,35,71,3,10,24,31,8,30,22,5,4,14,22
WASHINGTON WIZARDS,240,34,78,8,22,21,32,14,29,18,9,5,19,27
MILWAUKEE BUCKS,240,35,69,4,18,26,31,4,28,23,10,1,14,23
PHILADELPHIA 76ERS,240,44,88,5,12,23,27,10,35,21,7,4,5,19
NEW JERSEY NETS,240,32,73,4,21,28,34,5,32,20,3,3,10,19
SEATTLE SUPERSONICS,240,37,76,11,24,14,18,10,20,20,7,7,19,27
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,38,82,2,4,26,33,19,25,18,9,0,16,18
TORONTO RAPTORS,240,37,78,8,15,14,23,10,31,18,4,4,18,27
ORLANDO MAGIC,240,38,80,5,17,22,33,8,29,22,7,5,10,19
DENVER NUGGETS,240,31,71,4,14,17,24,6,27,22,8,2,15,26
UTAH JAZZ,240,42,86,3,11,17,24,14,33,26,8,5,13,20
